repo,stars,ext_prs,ext_merges
aboutcode-org/vulnerablecode,650,37,14
zulip/zulip,24906,17,4
accordproject/cicero,332,49,23
accordproject/concerto,176,50,22
honeynet/GreedyBear,187,46,37
intelowlproject/IntelOwl,4507,50,9
dora-rs/dora,3058,43,25
wagtail/wagtail,20241,42,4
deepchem/deepchem,6616,50,10
projectmesa/mesa,3530,39,21
kornia/kornia,11122,38,17
pyro-ppl/numpyro,2626,14,13
tardis-sn/tardis,236,44,10
MDAnalysis/mdanalysis,1557,45,18
mandiant/capa,5891,50,23
mandiant/flare-floss,3925,46,38
sympy/sympy,14498,49,13
oppia/oppia,6602,36,19
learningequality/kolibri,1011,23,19
Submitty/Submitty,759,50,29
sugarlabs/musicblocks,820,50,32
sugarlabs/sugar,308,50,15
laurent22/joplin,53971,43,22
RocketChat/Rocket.Chat,44958,33,8
CircuitVerse/CircuitVerse,1181,50,14
mozilla/pontoon,1628,9,3
processing/processing4,364,45,33
AFLplusplus/AFLplusplus,6390,43,34
rapid7/metasploit-framework,37750,50,38
prowler-cloud/prowler,13360,28,19
checkpoint-restore/criu,3755,26,18
chapel-lang/chapel,1977,11,15
qemu/qemu,12868,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0
django/django,87098,43,14
ffmpeg/FFmpeg,58058,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0
git/git,59786,50,1
neovim/neovim,97343,17,17
Homebrew/brew,47107,22,22
keploy/keploy,16309,28,15
AOSSIE-Org/Agora,5,15,9
AOSSIE-Org/PictoPy,225,50,4
creativecommons/cccatalog-api,103,50,0
dbpedia/extraction-framework,928,39,9
BRL-CAD/brlcad,961,47,22
ardupilot/ardupilot,14697,50,40
graphite-editor/Graphite,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}ERR,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0
apache/dolphinscheduler,14191,33,30
CamDavidsonPilon/lifelines,2560,40,29
apertium/apertium,107,22,14
mixxx/mixxx,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}ERR,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0,{"message":"Not Found","documentation_url":"https://docs.github.com/rest/pulls/pulls#list-pull-requests","status":"404"}0
metabrainz/listenbrainz-server,913,40,21
catrobat/Catroid,470,48,24
